"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"AdaptLearn AI: A Generative AI Framework for Bidirectional Personalization in Education","S. Gupta; S. Tiwari; M. Arya; N. Kumar; R. Jain","Computer Science & Engineering, Chandigarh University, Punjab, India; Computer Science & Engineering, Chandigarh University, Punjab, India; Computer Science & Engineering, Chandigarh University, Punjab, India; Computer Science & Engineering, Chandigarh University, Punjab, India; Computer Science & Engineering, Chandigarh University, Punjab, India","2025 International Conference on Computing, Intelligence, and Application (CIACON)","9 Oct 2025","2025","","","1","6","Teacher burnout and student disengagement are twin crises crippling modern education, with 72% of educators overwhelmed by administrative tasks and 61% of students underserved by one-size-fits-all curricula. While generative AI tools like GPT-4 offer transformative potential, existing systems address only isolated needs—automating grading or personalizing content, but never both. This paper introduces AdaptLearn AI, the first framework to unify teacher support and student adaptation through bidirectional generative AI. Our architecture combines fine-tuned Large Large Language Models(LLMs) for dynamic content generation (e.g., adjusting STEM problems via few-shot learning) with Retrieval-Augmented Generation(RAG) pipelines for instructor task automation (e.g., Individual educational plan(IEP) drafting, rubric design). Pilot tests with 5 teachers and 15 students demonstrated a 47% reduction in lesson planning time and 22% improvement in quiz scores compared to non-AI workflows validating that harmonizing stakeholder needs amplifies efficacy. Three key contributions distinguish this work: (1) a novel dual-stakeholder architecture enabling real-time synchronization between learner progress and teacher tools, (2) open-source modules for GPT-4/Large Language Model Meta AI(LLaMA) integration, prioritizing reproducibility, and (3) design guidelines for ethical AI-Ed deployment, including FERPA-compliant anonymization and bias audits. Results challenge the AI-Ed community to move beyond siloed solutions, proving that generative AI can uplift classrooms holistically—not through replacement, but partnership. Code and datasets will be open-sourced to accelerate research toward equitable, human-centered educational tools.","","979-8-3315-4411-9","10.1109/CIACON65473.2025.11189627","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11189627","Generative AI in Education;Natural Language Processing (NLP);Generative Pre-trained Transformers (GPT);Scalable AI Architectures;Multi-modal Feedback Integration","Generative Pre-trained transformer;Ethics;Technological innovation;Generative AI;Reproducibility of results;Natural language processing;Real-time systems;Synchronization;Stakeholders;Sustainable development","","","","35","IEEE","9 Oct 2025","18-19 July 2025","18-19 July 2025","IEEE","IEEE Conferences"
"AI Powered Answer Sheet Evaluator using OCR and Large Language Models","N. Subramanian; J. A. R; H. G; K. Tharageshwari","Department of Computer Science and Engineering, Karpagam Academy of Higher Education, Coimbatore; Department of Computer Science and Engineering, Karpagam Academy of Higher Education, Coimbatore; Department of Computer Science and Engineering, Karpagam Academy of Higher Education, Coimbatore; Department of Computer Science and Engineering, Karpagam Academy of Higher Education, Coimbatore","2025 9th International Conference on Electronics, Communication and Aerospace Technology (ICECA)","13 Feb 2026","2025","","","1","6","This paper introduces an alternative approach to the long-standing difficulties faced in conventional academic grading, particularly for descriptive and open-ended student responses. Traditional evaluation practices, although widely used, are often criticized for being time-consuming, inconsistent across evaluators, and increasingly impractical in classrooms with large student numbers. To overcome these challenges, the proposed framework integrates Optical Character Recognition (OCR) for digitizing handwritten content with the contextual reasoning ability of Large Language Models (LLMs). OCR technology is applied to convert written answers into editable digital form, while the LLM interprets meaning, evaluates correctness, and generates structured feedback aligned with reference rubrics. This dual-layer strategy is designed to improve efficiency, reduce subjectivity, and provide learners with more immediate and constructive feedback. Beyond system design, the paper also examines the effectiveness of the approach by considering the reliability of OCR across varied handwriting styles and the ability of LLMs to produce grading results comparable to human teachers. At the same time, the study highlights essential concerns such as algorithmic bias, data security, and the necessity of maintaining human oversight to preserve academic fairness and accountability. By balancing the benefits of automation with the irreplaceable role of educators, the proposed solution is positioned not as a substitute for teachers but as a supportive tool that can streamline evaluation, reduce workload, and enhance the quality of learning outcomes.","","979-8-3315-9929-4","10.1109/ICECA66444.2025.11383557","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11383557","AI-Powered Grading;Optical Character Recognition;Large Language Models;Educational Technology;Automated Assessment","Human computer interaction;Adaptation models;Solid modeling;Large language models;Optical character recognition;Prototypes;Reliability engineering;Portable document format;Data models;System analysis and design","","","","15","IEEE","13 Feb 2026","5-7 Nov. 2025","5-7 Nov. 2025","IEEE","IEEE Conferences"
"Enhancing SQL Education: Automated Feedback and Assessment Using Generative AI","P. Lai; S. M. Hui","Department of Electrical and Electronic Engineering, The Hong Kong Polytechnic University, Hong Kong, China; Department of Electrical and Electronic Engineering, The Hong Kong Polytechnic University, Hong Kong, China","2025 IEEE International Conference on Teaching, Assessment, and Learning for Engineering (TALE)","22 Jan 2026","2025","","","1","5","This paper presents a generative AI feedback system designed to address key challenges in SQL education, particularly the lack of personalized and immediate feedback in traditional assessments. Leveraging GPT-4o with structured prompt engineering and carefully defined scoring criteria, the system automatically evaluates the syntax and semantics of SQL statements, providing scores and targeted improvement suggestions to learners. In a study involving 80 participants, the system achieved an average feedback accuracy of 91% for SQL assignments and 88% for NoSQL assignments. Additionally, 70% of surveyed beginners reported an improvement in SQL proficiency after using the system for their coursework and practice exercises. Iterative prompt optimization was employed to mitigate common issues in large language models, including case sensitivity and the inclusion of non-essential elements in feedback. The results demonstrate the system’s effectiveness and highlight the transformative potential of generative AI in closing the feedback gap and significantly enhancing learning outcomes and student engagement in SQL education.","","979-8-3315-9841-9","10.1109/TALE66047.2025.11346791","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11346791","SQL;GenAI;automated feedback;NoSQL","Structured Query Language;Sensitivity;Accuracy;Large language models;Education;Semantics;Syntactics;Prompt engineering;Iterative methods;Optimization","","","","14","IEEE","22 Jan 2026","4-7 Dec. 2025","4-7 Dec. 2025","IEEE","IEEE Conferences"
"Personalized Auto-Grading and Feedback System for Constructive Geometry Tasks Using Large Language Models on an Online Math Platform","Y. Oh Lee; B. Bang; J. Lee; S. Oh","Department of Industrial and Data Engineering, Hongik University, Seoul, South Korea; Department of Computer Engineering, Hongik University, Seoul, South Korea; Department of Industrial and Data Engineering, Hongik University, Seoul, South Korea; Department of Mathematics Education, Hongik University, Seoul, South Korea",IEEE Access,"6 Feb 2026","2026","14","","17788","17802","As personalized learning gains increasing attention in mathematics education, there is a growing demand for intelligent systems that can assess complex student responses and provide individualized feedback in real time. In this study, we present a personalized auto-grading and feedback system for constructive geometry tasks, developed using large language models (LLMs) and deployed on the Algeomath platform, a Korean online tool designed for interactive geometric constructions. The proposed system evaluates student-submitted geometric constructions by analyzing their procedural accuracy and conceptual understanding. It employs a prompt-based grading mechanism using GPT-4, where student answers and model solutions are compared through a few-shot learning approach. Feedback is generated based on teacher-authored examples built from anticipated student responses, and it dynamically adapts to the student’s problem-solving history, allowing up to four iterative attempts per question. The system was piloted with 79 middle-school students, where LLM-generated grades and feedback were benchmarked against teacher judgments. Grading closely aligned with teachers, and feedback helped many students revise errors and complete multi-step geometry tasks. While short-term corrections were frequent, longer-term transfer effects were less clear. The study reports short-term corrective feedback patterns and attempt-level behaviors observed during classroom use, indicating the system’s role in supporting teacher-aligned formative assessment. The system achieved substantial agreement with teacher scoring, indicating its potential for reliable use in classroom formative assessment.","2169-3536","","10.1109/ACCESS.2026.3657726","Korea Foundation for the Advanced Science and Creativity (KOFAC) under the project titled “Development of an Integrated Engineering Tool Model and Prototype for Inquiry-Activity-Based Assessment,” in 2024; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11363215","Large language models;few-shot learning;personalized feedback;auto-grading;constructive geometry tasks;online math education","Geometry;Mathematics;Education;Cognition;Adaptation models;Accuracy;Problem-solving;Few shot learning;Cultural differences;Adaptive systems","","","","23","CCBYNCND","23 Jan 2026","2026","","IEEE","IEEE Journals"
"Can LLMs be Fair Graders? Only if You Bribe Them with the Right Rubric","S. B. Mazzone; J. Forden; D. Brylow","Computer Science, Marquette University, Milwaukee, Wisconsin; Computer Science, Carroll University, Waukesha, Wisconsin; Computer Science, Marquette University, Milwaukee, Wisconsin",2025 IEEE Frontiers in Education Conference (FIE),"13 Jan 2026","2025","","","1","9","This innovative practice full paper describes the effectiveness of self-hosted large language models (LLMs) for automatic grading of introductory programming (CS1) assignments using various rubrics. As computer science education (CSE) expands, the need for scalable grading solutions increases. Traditional grading is timeconsuming, and automated tools often lack meaningful feedback. LLM-based grading offers efficient assessment of large numbers of student submissions with adaptive feedback. However, remotely hosted systems like ChatGPT raise privacy concerns due to sharing sensitive student data externally. Self-hosted LLMs address privacy concerns by keeping data local. Earlier studies reported inconsistent grading with selfhosted models, raising concerns about reliability. This study reevaluates the accuracy of self-hosted models for CS1 assignment grading and examines how rubric design influences scoring consistency. The study used grading data from a semester-long CS1 course with 124 students and nine programming assignments. Initially, ten self-hosted LLMs were evaluated on their ability to assign scores on a 100-point scale without rubric guidance, establishing a baseline. Subsequently, the five best-performing models were assessed using five distinct rubrics: holistic 4-point, holistic 8 point, analytic 15-point, analytic 20-point, and a hybrid 100-point rubric that was used in the course. These rubrics varied in assessment granularity, facilitating analysis of LLM performance across different scoring frameworks. The analysis examined grading consistency and assessed how rubric structure impacted performance. Findings from this research provide insights into self-hosted LLMs reliability for automated grading, effectiveness of different rubric styles, and implications for integrating LLM-assisted grading into broader CSE practices.","2377-634X","979-8-3315-0105-1","10.1109/FIE63693.2025.11328653","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11328653","Large language model (LLMs);automated assessment tools (AATs);CS1;rubrics","Data privacy;Adaptation models;Analytical models;Accuracy;Large language models;Chatbots;Data models;Computer science education;Reliability;Programming profession","","","","26","IEEE","13 Jan 2026","2-5 Nov. 2025","2-5 Nov. 2025","IEEE","IEEE Conferences"
"Toward AI Evaluation of Student Essays","P. Rantanen; M. Saari; U. -T. Virta; P. Abrahamsson","Faculty of Information Technology and Communication Sciences, Tampere University, Tampere, Finland; Faculty of Information Technology and Communication Sciences, Tampere University, Tampere, Finland; Faculty of Information Technology and Communication Sciences, Tampere University, Tampere, Finland; Faculty of Information Technology and Communication Sciences, Tampere University, Tampere, Finland",2025 MIPRO 48th ICT and Electronics Convention,"2 Sep 2025","2025","","","729","734","The integration of artificial intelligence (AI) into teaching practices has expanded rapidly, and there is increasing discussion about computer-assisted assessment. This study investigates the application of AI for evaluating student essays, focusing on a Software Testing course at Tampere University. Traditionally, on this course essays are assessed manually by teaching assistants using predefined evaluation criteria. This research explores the feasibility of automating the evaluation process by comparing assessments generated by AI models—OpenAI's large language models (LLM) API—with human evaluations. The study focuses on the research question: Can automated assessment replace human evaluation? The key stages in this study include selecting a suitable AI model, its implementation and configuration, and designing an automated assessment workflow that aligns with human evaluation. The results indicate that, while AI models can evaluate at a level comparable to humans, current language models have limitations, such as consistency issues and an inability to interpret context. The findings of this study suggest that AI can be used as complementary tools rather than fully replacing humans. This work highlights the potential of AI in educational assessment while acknowledging the need for further refinement in model performance. Future directions include exploring open-source models and addressing the technical challenges related to resource requirements.","1847-3938","979-8-3315-3597-1","10.1109/MIPRO65660.2025.11132037","European Regional Development Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11132037","AI;automatic evaluation;student essays","Software testing;Uncertainty;Large language models;Education;Focusing;Artificial intelligence;Context modeling","","1","","11","IEEE","2 Sep 2025","2-6 June 2025","2-6 June 2025","IEEE","IEEE Conferences"
"Bench4HLS: End-to-End Evaluation of LLMs in High-Level Synthesis Code Generation","M. Z. S. Khan; K. Azar; H. Kamali","Department of Electrical and Computer Engineering (ECE), University of Central Florida, Orlando, FL, USA; Department of Electrical and Computer Engineering (ECE), University of Central Florida, Orlando, FL, USA; Department of Electrical and Computer Engineering (ECE), University of Central Florida, Orlando, FL, USA","2026 Design, Automation & Test in Europe Conference (DATE)","4 Jun 2026","2026","","","1","7","In last two years, large language models (LLMs) have shown strong capabilities in code generation, including hardware design at register-transfer level (RTL). While their use in high-level synthesis (HLS) remains comparatively less mature, the ratio of HLS- to RTL-focused studies has shifted from 1:10 to 2:10 in the past six months, indicating growing interest in leveraging LLMs for high-level design entry while relying on downstream synthesis for optimization. This growing trend highlights the need for a comprehensive benchmarking and evaluation framework dedicated to LLM-based HLS. To address this, We present Bench4HLS for evaluating LLM-generated HLS designs. Bench4HLS comprises 170 manually drafted and validated case studies, spanning small kernels to complex accelerators, curated from widely used public repositories. The framework supports fully automated assessment of compilation success, functional correctness via simulation, and synthesis feasibility/optimization. Crucially, Bench4HLS integrates a pluggable API for power, performance, and area (PPA) analysis across various HLS toolchains and architectures, demonstrated here with Xilinx Vitis HLS and validated on Catapult HLS. By providing a structured, extensible, and plug-and-play testbed, Bench4HLS establishes a foundational methodology for benchmarking LLMs in HLS workflows1.","1558-1101","978-3-9826741-1-7","10.23919/DATE69613.2026.11539716","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11539716","Large Language Model (LLM);High Level Synthesis (HLS);Design Space Exploration (DSE);Power;Performance;Area (PPA) Efficiency","Design methodology;Modeling;Large language models;Codes;Printing;Register transfer level;Design automation;High level synthesis;Conferences;Optimization","","","","42","","4 Jun 2026","20-22 April 2026","20-22 April 2026","IEEE","IEEE Conferences"
"Prompt Engineering Large Language Models for Healthcare Decision-Making Training","O. Bolgova; P. Ganguly; V. Mavrych","College of Medicine, Alfaisal University, Riyadh, Saudi Arabia; College of Medicine, Alfaisal University, Riyadh, Saudi Arabia; College of Medicine, Alfaisal University, Riyadh, Saudi Arabia",2025 International Conference on Decision Aid Sciences and Applications (DASA),"6 May 2026","2025","","","1474","1478","Background: Traditional grading of medical short-answer questions is resource-intensive and potentially inconsistent, limiting educational feedback quality. Large language models (LLMs) offer potential solutions, but their effectiveness depends heavily on the design of the prompting strategy.Objective: To evaluate the impact of progressive prompting strategies on DeepSeek R1's performance in grading medical short-answer questions compared to expert human graders.Methods: We assessed DeepSeek's grading accuracy across four prompting strategies: zero-shot (P1), few-shot with examples (P2), chain-of-thought reasoning (P3), and advanced prompting with expert criteria (P4). Three expert faculty members independently graded two hundred anonymized student responses to a clinical question. Agreement was measured using Cohen's Kappa coefficient, with expert-expert agreement as a benchmark.Results: Expert agreement was substantial (average Kappa 0.66, ICC 0.87). DeepSeek's agreement with expert consensus improved systematically: P1 achieved fair agreement (Kappa 0.32, 46% of expert-level agreement), P2 reached moderate agreement (Kappa 0.47, 68%), P3 achieved substantial agreement (Kappa 0.56, 81%), and P4 reached substantial agreement (Kappa 0.61, 88% of expert-level agreement). Perfect agreement increased from 48% (P1) to 79% (P4), while major grading errors decreased from 18% to 2%. DeepSeek demonstrated conservative grading tendencies that diminished with sophisticated prompting.Conclusions: Advanced prompting strategies enable LLMs to achieve near-expert-level performance in medical assessments, reaching 88% agreement with human experts. The systematic error reduction and improved reliability suggest that carefully designed LLM prompting could support medical education assessment, particularly for formative evaluation and preliminary grading tasks.","","979-8-3315-8859-5","10.1109/DASA68193.2025.11498718","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11498718","Prompt engineering;Decision making;Artificial intelligence;Assessment;Medical education;Large language models;Short answer questions;Inter-rater reliability;Educational technology","Radio broadcasting;Frequency modulation;Feedback;Circuits;Protocols;HTTP;Modulation;Radio broadcasting;Frequency modulation;Artificial intelligence","","","","17","IEEE","6 May 2026","1-2 Dec. 2025","1-2 Dec. 2025","IEEE","IEEE Conferences"
"The Role of AI in Transforming Education: A Systematic Review of Trends","Q. E. A. Ratul; E. Zaman; S. Das; M. Memari","Department of Computer Science, Utah Valley University, Orem, Utah, USA; Department of Computer Science, Utah Valley University, Orem, Utah, USA; Department of Computer Science, Utah Valley University, Orem, Utah, USA; Department of Computer Science, Utah Valley University, Orem, Utah, USA","2025 Intermountain Engineering, Technology and Computing (IETC)","20 Jun 2025","2025","","","1","6","Artificial Intelligence (AI) has emerged as a transformative force in higher education, particularly in STEM disciplines, revolutionizing teaching, learning, and administrative processes. This survey provides a comprehensive overview of AI applications in university education, focusing on large language models (LLMs) and generative AI. Key areas include intelligent tutoring systems, automated grading, adaptive learning platforms, and AI-driven administrative support. While AI offers significant benefits, such as personalized learning and operational efficiency, it also introduces challenges, including ethical concerns, algorithmic bias, and data privacy risks. This paper critically examines these challenges and identifies future directions, such as the integration of generative AI in STEM education, advancements in natural language processing, and the development of explainable and trustworthy AI systems. By synthesizing current research, this survey aims to equip educators, policymakers, and researchers with insights into the evolving role of AI in education and its implications for creating equitable and effective learning environments.","","979-8-3315-1282-8","10.1109/IETC64455.2025.11039329","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11039329","AI in education;generative AI;STEM education;personalized learning;automated grading;large language models (LLMs);adaptive learning;ethical AI;higher education","Surveys;Ethics;Adaptive learning;Generative AI;Large language models;Market research;Natural language processing;Artificial intelligence;Systematic literature review;STEM","","1","","48","IEEE","20 Jun 2025","9-10 May 2025","9-10 May 2025","IEEE","IEEE Conferences"
"Harnessing Large Language Models for College-Level English Language Assessment: Opportunities, Challenges, and Future Directions","J. Lin; J. Li","Shantou University, Shantou, China; Guangdong University of Technology, Guangzhou, China",2025 2nd International Conference on Informatics Education and Computer Technology Applications (IECA),"22 Jul 2025","2025","","","58","63","The integration of Large Language Models (LLMs) into college-level English language assessment represents a transformative opportunity to enhance the efficiency, scalability, and personalization of language education. This paper investigates the application of Large Language Models (LLMs) for automated essay scoring (AES) in college-level English language assessment, focusing on enhancing efficiency, scalability, and personalization. Through an experimental study, we demonstrate that students using LLM-powered AES systems achieved statistically significant improvements in writing proficiency compared to those assessed through traditional methods. The system’s ability to provide real-time, customized feed-back and reduce grading time highlights its potential to transform language education. However, challenges remain, particularly in assessing nuanced aspects of writing such as creativity, argumentation, and cultural context, as well as ethical concerns related to data privacy, algorithmic bias, and transparency. The study emphasizes the need for robust institutional strategies to support educators in integrating LLM-generated outputs effectively while maintaining pedagogical oversight. A key limitation is the study’s confinement to a single institution and a specific LLM (Bytedance’s Doubao), underscoring the need for broader validation across diverse educational contexts. Future research should explore longitudinal impacts on student motivation and proficiency, cross-institutional and cross-cultural adaptability, and ethical frameworks to ensure inclusivity and fairness. Anticipated advancements in LLM technology, such as enhanced contextual understanding, integration with learning management systems (LMS), and multilingual capabilities, are expected to further expand their utility in language assessment. In conclusion, while LLMs offer transformative potential, their successful implementation requires a balanced approach that integrates technological innovation with ethical considerations and pedagogical expertise. Collaboration among educators, technologists, and policymakers is essential to harness LLMs as tools for advancing student engagement, achievement, and the overall quality of language education.","","979-8-3315-3569-8","10.1109/IECA66054.2025.00018","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11083083","Large Language Model;Personalized Learning;College English Education","Ethics;Technological innovation;Data privacy;Large language models;Scalability;Education;Transforms;Writing;Real-time systems;Reliability","","","","15","IEEE","22 Jul 2025","17-19 Jan. 2025","17-19 Jan. 2025","IEEE","IEEE Conferences"
"AI Agent-Based Automated Essay Marking Framework Using Large Language Models","S. Thenura; D. Asanka; T. Mahanama; C. Rajapakse","Dept. of Industrial Management, Faculty of Science, University of Kelaniya, Kelaniya, Sri Lanka; Dept. of Industrial Management, Faculty of Science, University of Kelaniya, Kelaniya, Sri Lanka; Dept. of Industrial Management, Faculty of Science, University of Kelaniya, Kelaniya, Sri Lanka; Dept. of Industrial Management, Faculty of Science, University of Kelaniya, Kelaniya, Sri Lanka",2026 IEEE International Research Conference on Smart Computing and Systems Engineering (SCSE),"6 May 2026","2026","9","","1","7","Manual essay grading is time-consuming, subjective, and difficult to scale. Recent advances in Large Language Models (LLMs) have enabled Automated Essay Scoring (AES) systems, but a single LLM used in isolation often lacks the domain-specific knowledge, consistency, and transparency required for high-stakes educational assessment. This paper presents an AI Agent-Based Automated Essay Marking Framework that addresses these limitations by orchestrating LLMs within a multi-agent architecture augmented with Retrieval-Augmented Generation (RAG). In the design, a team of specialized AI agents (supervisor, retrieval, evaluation, tool, and quality assurance) collaboratively executes a rubric-based grading workflow, retrieving relevant course content and iteratively refining the scoring process to ensure accuracy and fairness. The framework offers a transparent, rubric-aligned, and domain-aware grading process, shifting from a black-box model-centric approach to a process-centric paradigm. Experimental evaluation against human-marked essays demonstrates that the proposed system achieves high alignment with expert graders, with the best configuration (Gemini 2.5 Flash with RAG and multi-agent orchestration) achieving a Mean Absolute Error (MAE) of 0.67 (SD =0.60, 95% CI: 0.49-0.85). The inclusion of RAG reduced MAE by 35.7%(p=0.136, trend toward significance) compared to the non-RAG configuration, while the multi-agent architecture improved accuracy by 16.7%(p=0.043, significant) over singleagent baselines. This work contributes a promising architectural framework for next-generation AES, showing that an agent-based approach using LLMs can provide trustworthy automated grading and detailed feedback, effectively augmenting human educators.","2997-7363","979-8-3315-4791-2","10.1109/SCSE70081.2026.11499850","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11499850","Automated essay scoring;large language models;multi agent systems;retrieval augmented generation;rubric based assessment","Feedback;Filtering;Filters;Circuits;MIMICs;Millimeter wave integrated circuits;Monolithic integrated circuits;Circuits and systems;Protocols;HTTP","","","","21","IEEE","6 May 2026","26-26 March 2026","26-26 March 2026","IEEE","IEEE Conferences"
"LLM Contribution Summarization in Software Projects","R. C. Ferrão; F. d. Miranda; D. P. Soler; M. A. V. Graglia","Insper, São Paulo, Brazil; Insper, TIDD PUCSP, São Paulo, Brazil; Insper, São Paulo, Brazil; TIDD PUCSP, São Paulo, SP, Brazil",2025 IEEE Frontiers in Education Conference (FIE),"13 Jan 2026","2025","","","1","8","This full paper in innovative practice provides an automated tool to summarize individual code contributions in project-based courses with external clients. Real industry projects offer valuable learning opportunities by immersing students in authentic problems defined by external clients. However, the open-ended and highly variable scope of these projects makes it challenging for instructors and teaching assistants to provide timely and detailed feedback. This paper addresses the need for an automated and objective approach to evaluate individual contributions within team projects. In this paper, we present a tool that leverages a large language model (LLM) to automatically summarize code contributions extracted from version control repositories. The tool preprocesses and structures repository data, and uses PyDriller to isolate individual contributions. Its uniqueness lies in the combination of LLM prompt engineering with automated repository analysis, thus reducing the manual grading burden while providing regular and informative updates. The tool was assessed over two semesters during a three-week, full-time software development sprint involving 65 students. Weekly summaries were provided to teams, and both student and faculty feedback indicated the tool's overall usefulness in informing grading and guidance. The tool reports, in large proportion, activities that were in fact performed by the student, with some failure to detect students contribution. The summaries were considered by the instructors as a useful potential tool to keep up with the projects.","2377-634X","979-8-3315-0105-1","10.1109/FIE63693.2025.11328654","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11328654","teamwork;project assessment;software engineering education;project-based learning;automated feedback;educational technology;software repository mining","Costs;Codes;Production;Manuals;Software;Regulation;Teamwork;Prompt engineering;Software engineering;Software development management","","","","30","IEEE","13 Jan 2026","2-5 Nov. 2025","2-5 Nov. 2025","IEEE","IEEE Conferences"
"Automated Subjective Answer Evaluation using GenAI and NLP by Enhancing Accuracy, Fairness, and Feedback in Education","Y. J; S. M; R. R; R. Venkatesan; G. N. Sundar; S. K. C S","Division of CSE, Karunya University, Coimbatore, India; Department of CSE & IT, Alliance University, Bangalore; Data Science and Cyber Security, Karunya University, Coimbatore; Division of CSE, Karunya University, Coimbatore, India; Division of CSE, Karunya University, Coimbatore, India; Global Tech Park, Bosch Global Software Technologies, Coimbatore",2025 International Conference on Intelligent Computing and Control Systems (ICICCS),"12 May 2025","2025","","","648","654","The problem in subjective evaluation of answer is that the traditional evaluation is not consistent, not fair, and not time efficient. Utilizing Generative AI (GenAI) and Natural Language Processing (NLP), this project presents an innovative technique which automates the evaluation process for subjective answers. It consists of the system that analyzes student’s response using predefined grading rubrics to assign them scores based on quality and relevance and gives them personalized feedback. The system, using a fine tuned GenAI model, reduces human bias and inconsistencies by being nuanced on context and coherence. The system is an easy to use and user friendly tool for Educators to manage and review evaluations through Streamlit hosted system. The solution proposed aims to achieve higher grading accuracy, reduce assessment workflow complexities, while providing perspective that can inform students learning on what is being assessed. The potential applications of this technology are great and include essay grading, peer review and professional training test selection.","","979-8-3315-1208-8","10.1109/ICICCS65191.2025.10985525","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10985525","Natural Language Processing;Generative AI;Automated grading;Streamlit;educational assessment;bias reduction;subjective answer evaluation;feedback;personalized dependencies;personalized feedback on wrong answers","Training;Accuracy;Costs;Generative AI;Reviews;User interfaces;Control systems;Natural language processing;Complexity theory;Context modeling","","","","10","IEEE","12 May 2025","19-21 March 2025","19-21 March 2025","IEEE","IEEE Conferences"
"Longitudinal Evaluation of Student Writing Improvement Using Human-in-the-Loop Open-SLLMs for Automated Scoring and Revision","G. Sunitha; M. S. Vaishnavi; V. Joshitha; M. Rajesh; V. A. Phani; K. Amala","Department of CSE, School of Computing, Mohan Babu University, Tirupati, A.P, India; Department of CSE, School of Computing, Mohan Babu University, Tirupati, A.P, India; Department of CSE, School of Computing, Mohan Babu University, Tirupati, A.P, India; Department of CSE, School of Computing, Mohan Babu University, Tirupati, A.P, India; Department of CSE, School of Computing, Mohan Babu University, Tirupati, A.P, India; dept. of ECE, Sri Venkateswara College of Engineering, Tirupati, A.P, India",2025 4th International Conference on Applied Artificial Intelligence and Computing (ICAAIC),"20 Jan 2026","2025","","","547","553","Expanding on the previous findings indicating that open-source large language models (LLMs) have moderate human-machine agreement in automated essay scoring (AES) and good performance in automated essay revising (AER), the present study goes further to estimate the pedagogical effect of the LLM-assisted writing feedback. In a longitudinal study of 1, 200 students' essays, our response system embedded ChatGLM2-6B in a few-shot and p-tuning setup into a human-in-the-loop feedback system. Quantitative analysis demonstrated that the group with the help of the LLM improved their average score in AES by 24.8 (p < 0.01) and demonstrated the average similarity of the text in the texts with 0.84, which signifies stylistic retention. The frequency of student self-revision increased (41 percent), and the time of grading was also decreased (63 percent) compared to the control group of traditional teacher feedback-assisted revisions. The results indicate that open-source LLM can be used as scalable, secure, and pedagogic tools of continuous writing assessment. The next step in the future will be to investigate adaptive prompt optimization and personalized feedback generation in various genres and languages.","","979-8-3315-6587-9","10.1109/ICAAIC64647.2025.11330583","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11330583","Automated essay revising (AER);automated essay scoring (AES);educational assessment;human-in-the-loop systems;large language models (LLMs);learning analytics;natural language processing (NLP);prompt tuning","Time-frequency analysis;Privacy;Statistical analysis;Large language models;Process control;Writing;Human in the loop;Reliability;Tuning;Optimization","","","","25","IEEE","20 Jan 2026","17-19 Dec. 2025","17-19 Dec. 2025","IEEE","IEEE Conferences"
