"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Luordo D.; Torres Arrese M.; Tristán Calvo C.; Shani Shani K.D.; Rodríguez Cruz L.M.; García Sánchez F.J.; Lagares Gómez-Abascal A.; Rubio García R.; Delgado Jiménez J.; Pérez Carreras M.; Diez Lobato R.; Granizo Martínez J.J.; Tung-Chen Y.; Villena Garrido M.V.","Luordo, Davide (57191829209); Torres Arrese, Marta (57216979228); Tristán Calvo, Cristina (59557694600); Shani Shani, Kirti Dayal (59557288600); Rodríguez Cruz, Luis Miguel (59557694700); García Sánchez, Francisco Javier (57193571721); Lagares Gómez-Abascal, Alfonso (6506519422); Rubio García, Rafael (6601959802); Delgado Jiménez, Juan (58891086100); Pérez Carreras, Mercedes (6603169273); Diez Lobato, Ramiro (59556476100); Granizo Martínez, Juan José (6701375949); Tung-Chen, Yale (55006053100); Villena Garrido, Mª Victoria (7004197858)","57191829209; 57216979228; 59557694600; 59557288600; 59557694700; 57193571721; 6506519422; 6601959802; 58891086100; 6603169273; 59556476100; 6701375949; 55006053100; 7004197858","Application of Artificial Intelligence as an Aid for the Correction of the Objective Structured Clinical Examination (OSCE)","2025","Applied Sciences (Switzerland)","15","3","1153","","","4","10.3390/app15031153","https://www.scopus.com/pages/publications/85217761603?origin=resultslist","The assessment of clinical competencies is essential in medical training, and the Objective Structured Clinical Examination (OSCE) is an essential tool in this process. There are multiple studies exploring the usefulness of artificial intelligence (AI) in medical education. This study explored the use of the GPT-4 AI model to grade clinical reports written by students during the OSCE at the Teaching Unit of the 12 de Octubre and Infanta Cristina University Hospitals, part of the Faculty of Medicine at the Complutense University of Madrid, comparing its results with those of human graders. Ninety-six (96) students participated, and their reports were evaluated by two experts, an inexperienced grader, and the AI using a checklist designed during the OSCE planning by the teaching team. The results show a significant correlation between the AI and human graders (ICC = 0.77 for single measures and 0.91 for average measures). AI was more stringent, assigning scores on an average of 3.51 points lower (t = −15.358, p < 0.001); its correction was considerably faster, completing the analysis in only 24 min compared to the 2–4 h required by human graders. These results suggest that AI could be a promising tool to enhance efficiency and objectivity in OSCE grading. © 2025 by the authors.","AI in healthcare; AI-assisted grading; artificial intelligence; clinical competency assessment; digital OSCE evaluation; human–AI comparison in grading; medical education; medical report evaluation; objective structured clinical examination (OSCE)","Medical education; Personnel training; Teaching; Artificial intelligence in healthcare; Artificial intelligence-assisted grading; Clinical competency assessment; Clinical examination; Competency assessment; Digital objective structured clinical examination evaluation; Human–artificial intelligence comparison in grading; Medical report evaluation; Objective structured clinical examination; Students","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85217761603"
"Cong L.; Hammerla L.; Hahn S.; Gombert S.; Drachsler H.; Kroehne U.","Cong, Longwei (60629189700); Hammerla, Leon (57667411600); Hahn, Sonja (59828968400); Gombert, Sebastian (57331515600); Drachsler, Hendrik (26326216500); Kroehne, Ulf (55849736300)","60629189700; 57667411600; 59828968400; 57331515600; 26326216500; 55849736300","Automatic Short Answer Grading with LLMs: From Memorization to Reasoning","2026","16th International Learning Analytics and Knowledge Conference, LAK 2026","","","","75","84","0","10.1145/3785022.3785031","https://www.scopus.com/pages/publications/105038676055?origin=resultslist","Short-answer questions provide valuable insights into students’ understanding and cognitive processes for learning analytics. However, they are difficult to grade automatically as they require a high level of language comprehension. Automatic Short Answer Grading (ASAG) is therefore essential in large-scale educational settings. Recent work has applied encode-only pre-trained language models (PLMs), such as BERT, and generative large language models (LLMs) to ASAG. Although fine-tuned BERT-based models currently produce state-of-the-art results, they depend on substantial annotated datasets, which are frequently expensive and insufficient. This paper examines the performance of fine-tuning of several PLMs and LLMs for different dataset sizes and compares the results to those of prompt-based approaches. General-purpose and domain-specific models were fine-tuned on datasets ranging from 800 to 26,674 student responses. Different prompt engineering strategies were tested including rubric-based prompts. Our results demonstrate that fine-tuned LLMs and rubric-based prompting can match or exceed the performance of BERT-based models. Rubric-based prompts with open-source model deliver comparable results without the need for annotation data or hardware-intensive training, while also mitigating data protection concerns. This work provides empirical evidence of the role of LLMs in ASAG and paves the way for future research into resource-efficient, interpretable and reasoning-driven grading. © 2026 Copyright held by the owner/author(s).","Automatic Short Answer Grading; Fine-tuning; Large Language Model; Learning Analytics; Prompt Engineering","Cognitive systems; Engineering education; Engineering research; High level languages; Learning systems; Automatic short answer grading; Cognitive process; Fine tuning; Language comprehensions; Language model; Large language model; Large-scales; Learning analytic; Performance; Prompt engineering; Grading","Conference paper","Final","","Scopus","2-s2.0-105038676055"
"Mendonça P.C.; Quintal F.; Mendonça F.","Mendonça, Pedro C. (59679531500); Quintal, Filipe (6504228821); Mendonça, Fábio (57195946416)","59679531500; 6504228821; 57195946416","Evaluating LLMs for Automated Scoring in Formative Assessments","2025","Applied Sciences (Switzerland)","15","5","2787","","","25","10.3390/app15052787","https://www.scopus.com/pages/publications/86000548888?origin=resultslist","The increasing complexity and scale of modern education have revealed the shortcomings of traditional grading methods in providing consistent and scalable assessments. Advancements in artificial intelligence have positioned Large Language Models (LLMs) as robust solutions for automating grading tasks. This study systematically compared the grading performance of an open-source LLM (LLaMA 3.2) and a premium LLM (OpenAI GPT-4o) against human evaluators across diverse question types in the context of a computer programming subject. Using detailed rubrics, the study assessed the alignment between LLM-generated and human-assigned grades. Results revealed that while both LLMs align closely with human grading, equivalence testing demonstrated that the premium LLM achieves statistically and practically similar grading patterns, particularly for code-based questions, suggesting its potential as a reliable tool for educational assessments. These findings underscore the ability of LLMs to enhance grading consistency, reduce educator workload, and address scalability challenges in programming-focused assessments. © 2025 by the authors.","automated grading; education; formative assessment; large language models","Ability testing; Computer programming languages; Contrastive Learning; Open source software; Scalability; Automated grading; Automating grading; Formative assessment; Grading methods; Language model; Large language model; Modern educations; Open-source; Performance; Robust solutions; Open systems","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-86000548888"
"Aminah S.; Hidayah I.; Permanasari A.E.","Aminah, Siti (60248735000); Hidayah, Indriana (55430202100); Permanasari, Adhistya Erna (25825391000)","60248735000; 55430202100; 25825391000","Evaluating the Effectiveness of Open-Source LLMs for Automatic Short Answer Scoring","2025","2025 IEEE International Conference on Artificial Intelligence and Mechatronics Systems, AIMS 2025","","","","","","0","10.1109/AIMS66189.2025.11229661","https://www.scopus.com/pages/publications/105025433436?origin=resultslist","Automated Short Answer Grading (ASAG) has become a critical challenge in educational technology, requiring models capable of understanding the semantics and context of student responses. This study investigates the effectiveness of three Large Language Models (LLMs) GPT-3.5 Turbo, LLaMA3-70B-8192, and Deepseek for ASAG tasks by evaluating their accuracy, interpretability, feedback quality, and efficiency. Using the Mohler dataset, which contains 2,273 answers scored by human raters, the models were assessed based on Quadratic Weighted Kappa (QWK) and Mean Absolute Error (MAE). Results show that LLaMA3-70B-8192 achieved the highest QWK (0.9484), while Deepseek obtained the lowest MAE (0.3), indicating superior precision. GPT-3.5 Turbo, though fastest, had lower agreement with human scores. The study also highlights differences in feedback style and cost-efficiency, with open-source models offering scalable and customizable alternatives. This research contributes a comprehensive benchmark and introduces a novel comparative framework for selecting LLMs tailored to ASAG needs, balancing accuracy, cost, and pedagogical effectiveness.  © 2025 IEEE.","Automated Short Answer Grading (ASAG); Deepseek; GPT-3.5 Turbo; Large Language Models (LLM); LLaMA3-70B-8192","Automation; Educational technology; Feedback; Information management; Open systems; Semantics; Automated short answer grading; Critical challenges; Deepseek; GPT-3.5 turbo; Language model; Large language model; LLaMA3-70b-8192; Mean absolute error; Open-source; Student response; Efficiency; Grading","Conference paper","Final","","Scopus","2-s2.0-105025433436"
"Oh Lee Y.; Bang B.; Lee J.; Oh S.","Oh Lee, Yong (60286291800); Bang, Byeonghun (60113930600); Lee, Joohyun (60146493800); Oh, Sejun (59495123900)","60286291800; 60113930600; 60146493800; 59495123900","Personalized Auto-Grading and Feedback System for Constructive Geometry Tasks Using Large Language Models on an Online Math Platform","2026","IEEE Access","14","","","17788","17802","0","10.1109/ACCESS.2026.3657726","https://www.scopus.com/pages/publications/105028603191?origin=resultslist","As personalized learning gains increasing attention in mathematics education, there is a growing demand for intelligent systems that can assess complex student responses and provide individualized feedback in real time. In this study, we present a personalized auto-grading and feedback system for constructive geometry tasks, developed using large language models (LLMs) and deployed on the Algeomath platform, a Korean online tool designed for interactive geometric constructions. The proposed system evaluates student-submitted geometric constructions by analyzing their procedural accuracy and conceptual understanding. It employs a prompt-based grading mechanism using GPT-4, where student answers and model solutions are compared through a few-shot learning approach. Feedback is generated based on teacher-authored examples built from anticipated student responses, and it dynamically adapts to the student’s problem-solving history, allowing up to four iterative attempts per question. The system was piloted with 79 middle-school students, where LLM-generated grades and feedback were benchmarked against teacher judgments. Grading closely aligned with teachers, and feedback helped many students revise errors and complete multi-step geometry tasks. While short-term corrections were frequent, longer-term transfer effects were less clear. The study reports short-term corrective feedback patterns and attempt-level behaviors observed during classroom use, indicating the system’s role in supporting teacher-aligned formative assessment. The system achieved substantial agreement with teacher scoring, indicating its potential for reliable use in classroom formative assessment. © 2013 IEEE.","auto-grading; constructive geometry tasks; few-shot learning; Large language models; online math education; personalized feedback","Computational geometry; E-learning; Education computing; Feedback control; Intelligent systems; Iterative methods; Problem solving; Real time systems; Students; Teaching; Auto-grading; Constructive geometry; Constructive geometry task; Few-shot learning; Grading system; Language model; Large language model; Online math education; Personalized feedback; Teachers'; Grading","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105028603191"
"Adrian A.A.; Ping T.P.","Adrian, Alexander Anak (60536560100); Ping, Tan Ping (55008117000)","60536560100; 55008117000","Automated Essay Grading System with Automated Generated Feedbacks","2025","Proceedings of the International Conference on Electrical Engineering and Informatics","","","","","","0","10.1109/ICEEI68459.2025.11331013","https://www.scopus.com/pages/publications/105034052479?origin=resultslist","Providing constructive essay feedback is a crucial yet time-consuming task, particularly in preparation for the Malaysian University English Test (MUET). This study proposes an automated essay grading system (AEGS) that leverages natural language processing (NLP) and artificial intelligence (AI) technologies to assess essays based on MUET rubrics to assist language teachers in grading essays and more importantly, to provide essays feedback efficiently as assist students' learning. The system was developed using generative pre-trained transformers (GPT)-4o OpenAI application programming interface, focusing on key features such as automated grading, detailed feedback generation, and userfriendly user interface design. AEGS extracts content from typed or scanned essays using Optical Character Recognition (OCR) and evaluates submissions via AI-powered analysis. The difference between the grade generated using MUET rubrics and the those marked by the language teachers is +-5 mark (an acceptable range). As proof of concept of this pilot study, an interview with a MUET language teacher and User Acceptance Testing (UAT) was conducted, the functional testing and user feedback indicate improved grading efficiency, consistency, and rubric-aligned feedback delivery. Most AEGS do not provide feedback but our proposed system not only grade but also provide essay writing feedback that the teachers can adjust accordingly. The feedback from the language teacher stated the usefulness of AI-generated essays feedback indicates the potential to reduce teachers' workload, improve overall feedback quality, and the potential to scale for wider academic use. © 2025 IEEE.","Artificial intelligence; automated grading; feature-driven development; Malaysian University English Test (MUET); natural language processing; OpenAI","Acceptance tests; Automation; Computer programming; Feedback; Grading; Learning algorithms; Natural language processing systems; Teaching; User interfaces; Automated essay grading; Automated grading; Feature driven development; Language processing; Malaysian university english test; Malaysians; Natural language processing; Natural languages; Openai; Teachers'; Artificial intelligence","Conference paper","Final","","Scopus","2-s2.0-105034052479"
"Kumar N.R.S.; Vigneshkumar M.; Reddy A.S.K.; Reddy G.K.K.; Manikanta B.; Raza A.","Kumar, N. R. Sathis (59943117000); Vigneshkumar, M. (59971554900); Reddy, Akkisetty Sujan Kumar (60608758100); Reddy, G. Karthik Kumar (60609144800); Manikanta, B. (57200395677); Raza, Amir (60609144900)","59943117000; 59971554900; 60608758100; 60609144800; 57200395677; 60609144900","AI-Based Framework for Question Paper Preparation","2026","Proceedings of 5th International Conference on Communication, Computing and Electronics Systems, ICCCES 2026","","","","1024","1029","0","10.1109/ICCCES62661.2026.11436776","https://www.scopus.com/pages/publications/105037444919?origin=resultslist","Traditionally, faculty convene to create question papers manually or work individually as a part of their teaching and learning cycle. This can take time and does not always address content coverage, difficulty level or topic alignment with the syllabus. This project highlights the initiate and develop Quizzy AI Paper Forge, a system that generates examination questions and answers from the content of study materials in PDF format. The system uses PDF.js to obtain the text, completes some light preprocessing, then relies on combination of AI adherer (Claude, Gemini and Llama) with a fallback rule-based model to sequence the subject content into question formatting. Supabase is used for authenticating, storage and maintaining the question metadata. Each question item is run through a vetting component to check for relevance, and then the difficulty level is assigned, Bloom's taxonomy and topic mapping per question. The selected questions build a composite exam display; customized sourcing semantically consolidated. Each of the twelve course documents (representing approximately 450 questions) was evaluated through relevant subject, adequate grammar, coverage of topics (noting, further work would be required to develop last two points) along with a noticeable decrease in preparation time over manual work. © 2026 IEEE.","Artificial Intelligence; Automated Assessment; Educational Technology; Large Language Models; Natural Language Processing; PDF Content Extraction; Question Paper Generation","Computational linguistics; Curricula; Educational technology; Engineering education; Learning systems; Natural language processing systems; Paper; Teaching; Automated assessment; Content extraction; Language model; Language processing; Large language model; Natural language processing; Natural languages; Paper generation; PDF content extraction; Question paper generation; Artificial intelligence","Conference paper","Final","","Scopus","2-s2.0-105037444919"
"Zhang Q.; Liu F.","Zhang, Qianchen (60173302800); Liu, Feng (57192183377)","60173302800; 57192183377","Domain generalization for diabetic retinopathy grading with phase augmentation framework","2026","Medical and Biological Engineering and Computing","64","2","","587","602","0","10.1007/s11517-025-03469-w","https://www.scopus.com/pages/publications/105021105550?origin=resultslist","Abstract: Diabetic retinopathy (DR), a common diabetic complication, stands as a primary cause of retinal blindness. Rapid automatic DR grading is a crucial approach for prevention. Although deep learning has shown promising results in automated DR grading, its deployment in clinical settings remains challenging due to variations in imaging devices, lighting conditions and other conditions in different hospitals. This study explores the problem of decreased generalization performance in DR grading, stemming from variations in the distributions of the source and target domains, namely addressing the domain generalization (DG) problem in DR grading. To tackle this challenge, we propose a novel Fourier-based domain generalization framework for fundus images, which consists of three key innovation elements: (1) Fourier spectrum enhancement: a Fourier-based image enhancement technique preserves critical high-frequency features by leveraging phase information, significantly improving cross-domain robustness; (2) Collaborative teacher-student knowledge distillation: a dual-network learning mechanism enhances generalization by distilling high-level semantic features from a teacher model to a student model; (3) Feature fusion: a feature fusion module effectively differentiates intra-class and inter-class features, thereby further enhancing classification performance. Extensive evaluation of our framework on six clinically realistic DR datasets demonstrates superior generalization performance compared to existing methods. Furthermore, this study reveals the critical role of Fourier phase information and high-level semantic features in improving generalization, bridging an important research gap in DR grading. © International Federation for Medical and Biological Engineering 2025.","Data augmentation; Diabetic retinopathy; Domain generalization; Image classification","Classification (of information); Deep learning; Education computing; Eye protection; Fourier transforms; Grading; Image enhancement; Learning systems; Medical imaging; Ophthalmology; Semantics; Students; Teaching; Data augmentation; Diabetic retinopathy; Diabetic retinopathy grading; Domain generalization; Fourier; Generalisation; Generalization performance; High-level semantic features; Images classification; Phase information; Article; data processing; deep learning; diabetic retinopathy; diabetic retinopathy grading; discrete Fourier transform; disease classification; domain generalization; feature learning (machine learning); Fourier transform; human; image enhancement; information processing; machine learning; maximum entropy model; network learning; retina image; teacher student collaboration network; Image classification","Article","Final","","Scopus","2-s2.0-105021105550"
"Velmurugan R.; Sudarvel J.; Bhuvaneswari R.; Senthilkumar S.","Velmurugan, R. (57196419824); Sudarvel, J. (57201664703); Bhuvaneswari, R. (59010449300); Senthilkumar, S. (59923093100)","57196419824; 57201664703; 59010449300; 59923093100","Design AI-Integrated Learning Programs and Curricula","2026","Cases on AI-Driven Talent Economy and Human Capital","","","","189","208","1","10.4018/979-8-3373-3867-5.ch008","https://www.scopus.com/pages/publications/105033737081?origin=resultslist","AI is playing a substantial role in the conversion of the education industry in that it allows both personalized and adaptive learning experiences. AI driven platforms, including intelligent tutoring systems (ITS), follow the tutorial, produce the next appropriate piece of learning, and offer real-time feedback by leveraging machine learning and data analytics for tracking student progress. This enables the students to learn at their own pace and provided point by point support. AI also gives power to teachers by automating activities such as the process of grading, making more time for personalization of interaction. However data privacy, equitable access and algorithmic bias issues call for some solutions. Making sure AI tools are secure, inclusive, and accessible will go a long way to maximize their value, making education more effective, the experience more engaging and more equitable. © 2026 by IGI Global Scientific Publishing. All rights reserved.","","Artificial intelligence; Computer aided instruction; Data privacy; Education computing; Learning systems; Real time systems; Students; Teaching; Adaptive learning; Education industry; Integrated learning; Intelligent tutoring; Learning experiences; Learning projects; Machine-learning; Personalized learning; Real-time feedback; Tutoring system; Curricula","Book chapter","Final","","Scopus","2-s2.0-105033737081"
"Kahanda I.; Kazi N.; Becker J.","Kahanda, Indika (53877589300); Kazi, Nazmul (57224355279); Becker, James (7403712790)","53877589300; 57224355279; 7403712790","Large Language Models for Automated Short-Answer Grading and Student Misconception Detection in STEM","2025","Recent Advances in Deep Learning Applications: New Techniques and Practical Examples","","","","79","105","0","10.1201/9781003570882-7","https://www.scopus.com/pages/publications/105022859452?origin=resultslist","[No abstract available]","","Computational linguistics; Modeling languages; Question answering; Students; Language model; Student misconceptions; Grading","Book chapter","Final","","Scopus","2-s2.0-105022859452"
"Zhang K.; Lai P.; Hu J.; Wang Y.","Zhang, Kexuan (59925903700); Lai, Peichao (57985522100); Hu, Jikai (60570416800); Wang, Yilei (57222133775)","59925903700; 57985522100; 60570416800; 57222133775","ADSC: LLM-Augmented Dual-Stream Cooperative Learning for Robust Automated Essay Scoring","2026","Lecture Notes in Computer Science","16452 LNCS","","","247","262","0","10.1007/978-981-95-7072-0_18","https://www.scopus.com/pages/publications/105035354482?origin=resultslist","The rapid expansion of educational systems and the widespread adoption of online learning platforms have highlighted the limitations of traditional manual essay scoring, such as inefficiency, high cost, and subjective bias. Automated Essay Scoring (AES) seeks to address these challenges, particularly in open-ended questions, where the absence of well-defined reference answers and flexible evaluation criteria makes accurate assessment inherently difficult. Existing approaches, including traditional feature engineering and large language model (LLM)-based methods, often struggle with semantic understanding, scoring consistency, and alignment with human evaluation rubrics. To tackle these issues, we propose ADSC, a novel LLM-augmented dual-stream framework that enhances small models’ feature representation through few-shot-guided LLM reasoning and integrates both semantic and comment-based features via interactive attention mechanisms. This design improves interpretability while enhancing scoring robustness. Experiments on the ASAP-AES dataset show that ADSC achieves state-of-the-art performance, attaining the highest average Quadratic Weighted Kappa (QWK) score and delivering substantial gains on narrative essays, while maintaining superior computational efficiency. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2026.","Automated Essay Scoring; Data Augmentation; Few-shot Learning","Automation; Learning systems; Online systems; Semantics; Automated essay scoring; Cooperative learning; Data augmentation; Educational systems; Few-shot learning; High costs; Language model; Learning platform; Online learning; Rapid expansion; Computational efficiency","Conference paper","Final","","Scopus","2-s2.0-105035354482"
"Pecuchova J.; Benko L.; Drlik M.","Pecuchova, Janka (58304340500); Benko, Lubomir (57102977800); Drlik, Martin (36184905200)","58304340500; 57102977800; 36184905200","Reimagining feedback through generative AI in engineering education","2026","Computers and Education: Artificial Intelligence","10","","100574","","","0","10.1016/j.caeai.2026.100574","https://www.scopus.com/pages/publications/105032742209?origin=resultslist","The rapid integration of Generative AI (GenAI) into higher education presents both opportunities and systemic challenges, particularly in domains where feedback is central to learning. This study investigates the capacity of a large language model to generate formative feedback for student-created UML diagrams in a university software engineering course. Across two cohorts (N = 262), AI-generated, teacher-generated, and no-feedback conditions were compared, analyzing student perceptions, learning outcomes, and grading reliability. Results show that while students rated GenAI feedback as beneficial and often comparable to human comments, teacher feedback remained more effective in supporting performance gains, especially in complex modeling tasks. Linguistic analysis further revealed that GenAI feedback was more repetitive and less pedagogically rich than human feedback. Beyond these course-level findings, the study highlights broader implications for higher education systems. GenAI feedback represents not just a pedagogical tool but a cognitive partner that can reshape assessment models, curriculum design, and faculty roles. Its scalable nature offers potential to democratize access to high-quality formative feedback, while also raising equity, accountability, and policy challenges at institutional and sectoral levels. By situating empirical results into this broader frame, the study argues that GenAI is catalyzing a paradigm shift toward new systems of learning, where feedback becomes systemic, scalable, and embedded in the very structure of higher education. © 2026 The Authors.","Feedback evaluation; Generative artificial intelligence; Unified modeling language","Artificial intelligence; Curricula; Education computing; Engineering education; Feedback; Learning systems; Linguistics; Software engineering; Students; Teaching; Technical presentations; Feedback evaluation; Formative feedbacks; Generative artificial intelligence; High educations; Language model; No feedbacks; Software engineering course; Teachers'; UML diagrams; Unified Modeling; Unified Modeling Language","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105032742209"
"Wang Z.","Wang, Ziyuan (60310539900)","60310539900","A Computer Technology-Enhanced Blended Learning Model for College English in Higher Vocational Education: Design, Implementation, and Efficacy","2026","Proceedings of 2025 2nd International Conference on Artificial Intelligence and Future Education, AIFE 2025","","","","157","162","0","10.1145/3785987.3786013","https://www.scopus.com/pages/publications/105029713845?origin=resultslist","This study designs, implements, and evaluates a computer technology-enhanced blended learning model for College English in Chinese higher vocational education. To address challenges such as large classes, diverse proficiency, and limited vocational relevance, it integrates adaptive learning for personalized pathways, NLP for automated assessment, and learning analytics for data-driven instruction. A quasi-experimental design was employed with 240 vocational students initially assigned to experimental (EG, n = 120) and control groups (CG, n = 120). After attrition, complete data from 238 participants (EG = 119, CG = 119) were analyzed over a 16-week intervention. Results demonstrated that EG students significantly outperformed CG counterparts in post-test scores (p <.001, Cohen’s d = 0.58), with particularly strong gains in listening comprehension. Technology acceptance survey revealed significantly higher perceptions of usefulness (d = 0.65) and behavioral intention (d = 0.69) in the EG. Behavioral data analysis showed substantially higher engagement levels, with speaking practice submissions positively correlating with listening improvement (r =.45, p <.001). The study provides empirical evidence for AI-enhanced blended learning in vocational contexts and offers practical implications for scalable, personalized language instruction. © 2025 Copyright held by the owner/author(s).","Adaptive Learning; Blended Learning; Computer-Assisted Language Learning (CALL); Educational Data Mining; Higher Vocational Education; Learning Analytics; Natural Language Processing","Apprentices; Artificial intelligence; Behavioral research; Computer aided instruction; Data mining; E-learning; Education computing; Engineering education; Learning algorithms; Learning systems; Students; Adaptive learning; Blended learning; Computer assisted language learning; Computer-assisted language learning; Educational data mining; Higher vocational educations; Language processing; Learning analytic; Natural language processing; Natural languages; Natural language processing systems","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105029713845"
"Ng S.H.S.; Chan H.Y.; Wong J.H.K.; Sam L.; Privitera A.J.","Ng, S.H.S. (58543003400); Chan, H.Y. (60332297300); Wong, J.H.K. (60332019300); Sam, L. (60332430700); Privitera, A.J. (57208189753)","58543003400; 60332297300; 60332019300; 60332430700; 57208189753","Mapping the landscape: generative AI in higher education assessment (2020-2024) - a scoping review","2026","Interactive Learning Environments","","","","","","0","10.1080/10494820.2026.2614079","https://www.scopus.com/pages/publications/105027444622?origin=resultslist","The emergence of Generative Artificial Intelligence (GAI) marks a paradigm shift in higher education, with the potential to transform assessment practices. Its disruptive capabilities offer both opportunities and challenges, prompting widespread debate about appropriate responses. Although recent reviews have synthesised research on GAI in higher education, methodological limitations, particularly the exclusion of grey literature, prevent a full understanding of this rapidly evolving field. To address this gap, the present scoping review maps the use of GAI in higher education assessment. Searches were conducted in ERIC, ProQuest, Scopus, and Web of Science for literature published between 1 June 2020 and 29 February 2024, including peer-reviewed articles and grey literature such as preprints and conference papers. This inclusive approach captured a comprehensive collection of both published and unpublished studies, the latter often overlooked in prior reviews. Documents were screened by three independent reviewers, and findings were synthesised narratively and in tables. A total of 68 documents met inclusion criteria, covering topics such as GAI’s role in assessment design, grading, feedback, and academic integrity. This review provides the most comprehensive global overview to date of early research on GAI in higher education assessment, highlighting both current practices and critical gaps for future investigation. © 2026 Informa UK Limited, trading as Taylor & Francis Group.","academic integrity; assessment; ChatGPT; feedback; Generative artificial intelligence; higher education","","Review","Article in press","","Scopus","2-s2.0-105027444622"
"Cisneros-González J.; Gordo-Herrera N.; Barcia-Santos I.; Cerezo Y.; Sánchez-Soriano J.","Cisneros-González, Jorge (59966125900); Gordo-Herrera, Natalia (58534410400); Barcia-Santos, Iván (59965852800); Cerezo, Yolanda (24723461300); Sánchez-Soriano, Javier (36722258800)","59966125900; 58534410400; 59965852800; 24723461300; 36722258800","A Multilingual Dataset of Student Answers, Human Grading, and Multi-LLM Evaluations for Automated Assessment Research Using JorGPT","2026","Data","11","3","59","","","0","10.3390/data11030059","https://www.scopus.com/pages/publications/105034624473?origin=resultslist","The increasing adoption of Large Language Models (LLMs) in higher education has created a need for high-quality, publicly available benchmarks for automated assessment. Existing datasets often rely on synthetic responses or lack detailed human feedback. This paper presents a multilingual dataset of 3041 authentic student answers to 50 open-ended Computer Science questions, collected from real university assessments during the 2025–2026 academic year. The dataset includes the original student responses (Spanish) and their parallel translations (English), instructor (or teacher) defined ideal answers, blind human grading with qualitative feedback, and structured evaluations from three state-of-the-art LLMs (DeepSeek-chat-V3.2, Qwen-flash-2025-07-28, Gemini-2.5-flash-lite-001) using a unified JSON schema. This resource enables reproducible research in automated grading, feedback generation, and cross-lingual educational NLP. Dataset: https://doi.org/10.5281/zenodo.18369061 (accessed on 12 March 2026) Dataset License: Creative Commons Attribution 4.0 International © 2026 by the authors.","automated assessment; automated grading; educational data mining; higher education; large language models; multilingual datasets; open-ended questions","Benchmarking; Data mining; Education computing; Feedback; Grading; Large datasets; Students; Teaching; Automated assessment; Automated grading; Educational data mining; High educations; High quality; Language model; Large language model; Model evaluation; Multilingual dataset; Open-ended questions; Automation","Data paper","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105034624473"
"Demirtaş M.A.; Zheng C.; Cunningham K.","Demirtaş, Mehmet Arif (57225217772); Zheng, Claire (59673684800); Cunningham, Kathryn (57195932046)","57225217772; 59673684800; 57195932046","Detecting Programming Plans in Open-ended Code Submissions","2025","SIGCSE TS 2025 - Proceedings of the 56th ACM Technical Symposium on Computer Science Education","2","","","1435","1436","0","10.1145/3641555.3705166","https://www.scopus.com/pages/publications/86000243309?origin=resultslist","Open-ended code-writing exercises are commonly used in large-scale introductory programming courses, as they can be autograded against test cases. However, code writing requires many skills at once, from planning out a solution to applying the intricacies of syntax. As autograding only evaluates code correctness, feedback addressing each of these skills separately cannot be provided. In this work, we explore methods to detect which high-level patterns (i.e. programming plans) have been used in a submission, so learners can receive feedback on planning skills even when their code is not completely correct. Our preliminary results show that LLMs with few-shot prompting can detect the use of programming plans in 95% of correct and 86% of partially correct submissions. Incorporating LLMs into grading of open-ended programming exercises can enable more fine-grained feedback to students, even in cases where their code does not compile due to other errors. © 2025 Copyright held by the owner/author(s).","autograding; large language models; programming plans","Students; Autograding; Code-writing; Fine grained; Introductory programming course; Language model; Large language model; Large-scales; Programming exercise; Programming plans; Test case; Coding errors","Conference paper","Final","","Scopus","2-s2.0-86000243309"
